draw,drawdate,main1,main2,main3,main4,main5,main6,main7,bonus1,bonus2,sum7,sum9,odd7,even7
302,2019/2/1,8,16,26,27,28,32,34,4,25,171,200,1,6
303,2019/2/8,4,7,14,17,21,34,37,10,30,134,174,4,3
304,2019/2/15,7,9,10,17,28,33,36,18,23,140,181,4,3
305,2019/2/22,6,17,23,24,27,28,31,10,18,156,184,4,3
306,2019/3/1,12,13,15,22,25,33,35,1,31,155,187,5,2
307,2019/3/8,5,8,15,24,25,32,35,20,26,144,190,4,3
308,2019/3/15,5,6,11,15,20,32,33,13,25,122,160,4,3
309,2019/3/22,1,7,13,14,16,21,22,18,34,94,146,4,3
310,2019/3/29,17,25,26,28,31,32,37,6,9,196,211,4,3
311,2019/4/5,9,11,18,24,26,27,37,30,33,152,215,4,3
312,2019/4/12,1,2,4,18,20,29,34,17,30,108,155,2,5
313,2019/4/19,9,13,16,23,28,29,30,1,20,148,169,4,3
314,2019/4/26,3,6,8,19,32,34,35,12,30,137,179,3,4
315,2019/5/3,3,11,18,26,30,33,37,28,31,158,217,4,3
316,2019/5/10,3,9,10,17,30,33,34,6,8,136,150,4,3
317,2019/5/17,7,8,14,15,16,20,29,18,19,109,146,3,4
318,2019/5/24,4,5,10,12,27,34,36,3,14,128,145,2,5
319,2019/5/31,2,6,14,23,28,31,35,19,27,139,185,3,4
320,2019/6/7,5,6,18,22,26,33,34,36,37,144,217,2,5
321,2019/6/14,15,24,27,28,29,34,35,9,25,192,226,4,3
322,2019/6/21,1,10,11,21,26,29,30,14,20,128,162,4,3
323,2019/6/28,11,14,15,21,26,34,36,23,27,157,207,3,4
324,2019/7/5,9,13,16,17,18,19,20,30,36,112,178,4,3
325,2019/7/12,4,14,17,18,21,31,33,6,20,138,164,4,3
326,2019/7/19,1,2,17,18,24,27,29,12,32,118,162,4,3
327,2019/7/26,1,3,13,14,16,30,31,2,17,108,127,4,3
328,2019/8/2,3,9,10,14,19,24,30,18,21,109,148,3,4
329,2019/8/9,3,10,19,20,26,28,30,15,25,136,176,2,5
330,2019/8/16,3,4,10,12,17,18,20,19,32,84,135,2,5
331,2019/8/23,5,7,11,12,15,18,20,19,30,88,137,4,3
332,2019/8/30,5,7,10,15,24,27,30,3,33,118,154,4,3
333,2019/9/6,1,4,10,11,16,24,34,30,32,100,162,2,5
334,2019/9/13,3,7,15,16,30,34,35,8,29,140,177,4,3
335,2019/9/20,9,10,17,18,22,25,35,13,14,136,163,4,3
336,2019/9/27,9,10,13,21,25,31,33,24,37,142,203,6,1
337,2019/10/4,5,7,10,12,14,24,35,11,33,107,151,3,4
338,2019/10/11,7,9,16,17,23,27,34,15,36,133,184,5,2
339,2019/10/18,11,15,18,20,23,25,32,9,37,144,190,4,3
340,2019/10/25,6,14,17,26,27,30,36,12,28,156,196,2,5
341,2019/11/1,4,11,17,27,29,31,36,19,24,155,198,5,2
